업체명,WGS84위도,WGS84경도
가평군동물보호센터,37.8459543,127.4991358
고양시동물보호센터,37.6496069,126.870066
광주TNR동물병원,37.41746097,127.2752964
남양주동물보호센터,37.6089046,127.1918026
가나동물병원,37.48350736,126.7631747
CJ동물병원,37.50029663,126.7751273
가야동물병원,37.49060016,126.7838949
24시아이동물메디컬,37.5256574,126.8045482
펫앤쉘터동물병원,37.3670017,127.1276345
수원시동물보호센터,37.28501037,127.0786968
시흥시동물누리보호센터,37.37405365,126.7427931
(사)한국야생동물보호협회,37.3401156,126.8700487
스타동물병원,37.3135805,126.8367508
이성준동물병원,37.0065829,127.274787
(사)한국동물구조관리협회,37.8700531,126.9831861
양평군품유기동물보호센터,37.51079775,127.5142953
위더스동물메디컬센터 부설동물보호센터,37.297553,127.5756334
오산시 수의사회,37.149051,127.065149
용인시동물보호센터,37.243299,127.1591338
평택시 동물보호센터,37.13063033,127.0554225
하남동물병원,37.5371145,127.204029
남양동물보호센터,37.22494992,126.8434243
